date,price
2000/9/11,37.622898
2000/9/12,37.622898
2000/9/13,40.188099
2000/9/14,39.045799
2000/9/15,38.478001
2000/9/18,39.045799
2000/9/19,37.910099
2000/9/20,37.910099
2000/9/21,38.478001
2000/9/22,35.9128
2000/9/25,33.6348
2000/9/26,31.350201
2000/9/27,29.927299
2000/9/28,30.2145
2000/9/29,28.217199
2000/10/2,25.710699
2000/10/3,27.0749
2000/10/4,26.167601
2000/10/5,25.253799
2000/10/6,27.022699
2000/10/9,25.195101
2000/10/10,25.195101
2000/10/11,24.34
2000/10/12,22.688601
2000/10/13,21.3766
2000/10/16,21.3766
2000/10/17,18.5243
2000/10/18,17.271
2000/10/19,16.0765
2000/10/20,17.101299
2000/10/23,15.9591
2000/10/24,17.042601
2000/10/25,18.184799
2000/10/26,17.558201
2000/10/27,17.558201
2000/10/30,16.8141
2000/10/31,16.2463
2000/11/1,15.7893
2000/11/2,15.7893
2000/11/3,16.357201
2000/11/6,16.0765
2000/11/7,15.9591
2000/11/8,16.585699
2000/11/9,16.017799
2000/11/10,16.585699
2000/11/13,15.4499
2000/11/14,15.3912
2000/11/15,14.8233
2000/11/16,14.7058
2000/11/17,14.3664
2000/11/20,13.0544
2000/11/21,12.8847
2000/11/22,12.715
2000/11/23,12.3103
2000/11/24,13.1654
2000/11/27,14.0792
2000/11/28,14.1967
2000/11/29,13.7398
2000/11/30,13.2829
2000/12/1,13.0544
2000/12/4,12.8847
2000/12/5,13.2241
2000/12/6,13.8508
2000/12/7,13.5701
2000/12/8,13.6811
2000/12/11,13.6811
2000/12/12,13.7398
2000/12/13,13.6811
2000/12/14,13.6223
2000/12/15,13.1654
2000/12/18,12.826
2000/12/19,12.4278
2000/12/20,12.0297
2000/12/21,11.6315
2000/12/22,11.2856
2000/12/25,11.2856
2000/12/26,11.6315
2000/12/27,11.2268
2000/12/28,11.2268
2000/12/29,11.1159
2001/1/1,11.1159
2001/1/2,11.8012
2001/1/3,12.5975
2001/1/4,13.4526
2001/1/5,13.8508
2001/1/8,12.8847
2001/1/9,13.7398
2001/1/10,13.9683
2001/1/11,13.5701
2001/1/12,13.6811
2001/1/15,13.6223
2001/1/16,14.1967
2001/1/17,14.4252
2001/1/18,13.6811
2001/1/19,13.6811
2001/1/22,13.6811
2001/1/23,13.6811
2001/1/24,13.6811
2001/1/25,13.6811
2001/1/26,13.6811
2001/1/29,13.8508
2001/1/30,14.0205
2001/1/31,14.2489
2001/2/1,14.4774
2001/2/2,15.4499
2001/2/5,16.474701
2001/2/6,17.042601
2001/2/7,15.9068
2001/2/8,15.9591
2001/2/9,15.9068
2001/2/12,16.9904
2001/2/13,17.042601
2001/2/14,17.7279
2001/2/15,17.8454
2001/2/16,17.8976
2001/2/19,17.4995
2001/2/20,17.101299
2001/2/21,16.703199
2001/2/22,15.9068
2001/2/23,14.8233
2001/2/26,14.8233
2001/2/27,15.8481
2001/2/28,15.8481
2001/3/1,15.9591
2001/3/2,15.5021
2001/3/5,16.585699
2001/3/6,17.160101
2001/3/7,17.669201
2001/3/8,17.212299
2001/3/9,16.931601
2001/3/12,16.2463
2001/3/13,16.017799
2001/3/14,16.017799
2001/3/15,18.295799
2001/3/16,18.981199
2001/3/19,17.669201
2001/3/20,17.3298
2001/3/21,17.617001
2001/3/22,18.5243
2001/3/23,18.752701
2001/3/26,20.064699
2001/3/27,19.895
2001/3/28,19.7253
2001/3/29,21.0895
2001/3/30,20.4041
2001/4/2,18.981199
2001/4/3,17.669201
2001/4/4,17.3298
2001/4/5,17.3298
2001/4/6,18.5243
2001/4/9,18.472
2001/4/10,18.0151
2001/4/11,18.641701
2001/4/12,19.7775
2001/4/13,19.7775
2001/4/16,19.7253
2001/4/17,19.438101
2001/4/18,20.4041
2001/4/19,21.8335
2001/4/20,22.231701
2001/4/23,22.231701
2001/4/24,23.315201
2001/4/25,22.5189
2001/4/26,22.5189
2001/4/27,21.148199
2001/4/30,21.4876
2001/5/1,21.4876
2001/5/2,20.691299
2001/5/3,22.114201
2001/5/4,22.062
2001/5/7,21.3766
2001/5/8,20.182199
2001/5/9,20.521601
2001/5/10,20.521601
2001/5/11,21.9445
2001/5/14,22.231701
2001/5/15,21.6639
2001/5/16,21.605101
2001/5/17,21.605101
2001/5/18,22.173
2001/5/21,22.6299
2001/5/22,21.3766
2001/5/23,21.605101
2001/5/24,21.605101
2001/5/25,21.4354
2001/5/28,20.580299
2001/5/29,20.2931
2001/5/30,20.2931
2001/5/31,20.182199
2001/6/1,18.811399
2001/6/4,17.9564
2001/6/5,19.2096
2001/6/6,19.7253
2001/6/7,19.7253
2001/6/8,19.379299
2001/6/11,20.691299
2001/6/12,20.919701
2001/6/13,20.4041
2001/6/14,20.4041
2001/6/15,20.2931
2001/6/18,19.953699
2001/6/19,19.2684
2001/6/20,19.2096
2001/6/21,19.327101
2001/6/22,19.327101
2001/6/25,19.327101
2001/6/26,18.583
2001/6/27,18.184799
2001/6/28,18.472
2001/6/29,18.583
2001/7/2,18.184799
2001/7/3,17.3298
2001/7/4,16.1353
2001/7/5,15.9068
2001/7/6,16.305
2001/7/9,16.017799
2001/7/10,15.7893
2001/7/11,14.7646
2001/7/12,14.7646
2001/7/13,13.7398
2001/7/16,12.9957
2001/7/17,13.2829
2001/7/18,13.2829
2001/7/19,14.1967
2001/7/20,14.138
2001/7/23,14.138
2001/7/24,13.2241
2001/7/25,14.0205
2001/7/26,14.993
2001/7/27,14.993
2001/7/30,14.993
2001/7/31,14.7646
2001/8/1,13.792
2001/8/2,14.4774
2001/8/3,14.9343
2001/8/6,15.6784
2001/8/7,15.1627
2001/8/8,15.5021
2001/8/9,14.7058
2001/8/10,14.8233
2001/8/13,14.8233
2001/8/14,15.936
2001/8/15,16.8617
2001/8/16,17.9858
2001/8/17,18.4487
2001/8/20,17.192301
2001/8/21,17.390699
2001/8/22,16.993999
2001/8/23,17.060101
2001/8/24,17.390699
2001/8/27,17.2584
2001/8/28,17.9858
2001/8/29,17.787399
2001/8/30,17.192301
2001/8/31,17.192301
2001/9/3,16.0021
2001/9/4,15.2086
2001/9/5,14.878
2001/9/6,13.8861
2001/9/7,12.9604
2001/9/10,13.4232
2001/9/11,12.4975
2001/9/12,null
2001/9/13,11.6379
2001/9/14,10.8444
2001/9/17,null
2001/9/18,null
2001/9/19,null
2001/9/20,10.1832
2001/9/21,9.85253
2001/9/24,null
2001/9/25,9.19128
2001/9/26,9.81946
2001/9/27,9.98477
2001/9/28,null
2001/10/1,null
2001/10/2,9.29047
2001/10/3,8.66228
2001/10/4,8.06717
2001/10/5,8.26554
2001/10/8,7.90186
2001/10/9,8.06717
2001/10/10,null
2001/10/11,8.62923
2001/10/12,9.22435
2001/10/15,8.59616
2001/10/16,8.39779
2001/10/17,8.69535
2001/10/18,9.29047
2001/10/19,9.91865
2001/10/22,10.5138
2001/10/23,10.4476
2001/10/24,10.646
2001/10/25,11.0428
2001/10/26,10.7783
2001/10/29,10.7121
2001/10/30,11.1089
2001/10/31,10.3815
2001/11/1,10.1832
2001/11/2,10.7121
2001/11/5,11.4395
2001/11/6,11.3734
2001/11/7,12.1669
2001/11/8,12.1008
2001/11/9,null
2001/11/12,12.8281
2001/11/13,12.5636
2001/11/14,13.1587
2001/11/15,13.6877
2001/11/16,14.6135
2001/11/19,15.6053
2001/11/20,14.9441
2001/11/21,15.936
2001/11/22,15.3408
2001/11/23,15.5392
2001/11/26,16.5972
2001/11/27,17.5891
2001/11/28,17.2584
2001/11/29,17.2584
2001/11/30,16.531099
2001/12/3,17.4568
2001/12/4,17.2584
2001/12/5,18.1842
2001/12/6,19.4405
2001/12/7,20.763
2001/12/10,21.292
2001/12/11,21.292
2001/12/12,22.746799
2001/12/13,22.812901
2001/12/14,23.275801
2001/12/17,22.0194
2001/12/18,20.498501
2001/12/19,20.498501
2001/12/20,21.887199
2001/12/21,22.4823
2001/12/24,22.945101
2001/12/25,23.4741
2001/12/26,24.5982
2001/12/27,23.143499
2001/12/28,24.730499
2001/12/31,24.730499
2002/1/1,null
2002/1/2,24.730499
2002/1/3,null
2002/1/4,24.0693
2002/1/7,24.3999
2002/1/8,23.870899
2002/1/9,25.524
2002/1/10,27.309299
2002/1/11,26.317499
2002/1/14,28.1028
2002/1/15,28.4335
2002/1/16,27.2432
2002/1/17,27.441601
2002/1/18,28.169001
2002/1/21,30.086599
2002/1/22,32.136398
2002/1/23,32.136398
2002/1/24,34.384701
2002/1/25,34.715302
2002/1/28,34.054001
2002/1/29,32.2687
2002/1/30,33.392799
2002/1/31,null
2002/2/1,32.5993
2002/2/4,33.392799
2002/2/5,35.7071
2002/2/6,38.0215
2002/2/7,null
2002/2/8,null
2002/2/11,null
2002/2/12,null
2002/2/13,null
2002/2/14,null
2002/2/15,null
2002/2/18,40.6665
2002/2/19,39.674599
2002/2/20,37.029598
2002/2/21,36.368401
2002/2/22,35.376499
2002/2/25,35.7071
2002/2/26,38.0215
2002/2/27,39.344002
2002/2/28,null
2002/3/1,37.029598
2002/3/4,37.360298
2002/3/5,39.674599
2002/3/6,40.005199
2002/3/7,37.360298
2002/3/8,35.7071
2002/3/11,35.7071
2002/3/12,36.0378
2002/3/13,34.054001
2002/3/14,35.376499
2002/3/15,34.054001
2002/3/18,34.715302
2002/3/19,32.533199
2002/3/20,33.062199
2002/3/21,33.062199
2002/3/22,32.995998
2002/3/25,34.715302
2002/3/26,34.715302
2002/3/27,33.062199
2002/3/28,32.5993
2002/3/29,33.392799
2002/4/1,34.384701
2002/4/2,34.054001
2002/4/3,33.7234
2002/4/4,33.392799
2002/4/5,null
2002/4/8,33.7234
2002/4/9,33.392799
2002/4/10,33.062199
2002/4/11,33.392799
2002/4/12,35.7071
2002/4/15,37.029598
2002/4/16,37.360298
2002/4/17,36.699001
2002/4/18,35.045898
2002/4/19,35.376499
2002/4/22,36.368401
2002/4/23,35.7071
2002/4/24,36.368401
2002/4/25,36.368401
2002/4/26,35.7071
2002/4/29,34.384701
2002/4/30,34.715302
2002/5/1,null
2002/5/2,33.392799
2002/5/3,33.392799
2002/5/6,31.475201
2002/5/7,32.731499
2002/5/8,32.929901
2002/5/9,32.136398
2002/5/10,34.054001
2002/5/13,32.929901
2002/5/14,32.995998
2002/5/15,33.062199
2002/5/16,31.7397
2002/5/17,30.946199
2002/5/20,28.8302
2002/5/21,26.8465
2002/5/22,27.5739
2002/5/23,27.5077
2002/5/24,29.425301
2002/5/27,30.1527
2002/5/28,30.4172
2002/5/29,28.9625
2002/5/30,28.8302
2002/5/31,29.4914
2002/6/3,28.3673
2002/6/4,27.3755
2002/6/5,27.111
2002/6/6,27.5739
2002/6/7,26.978701
2002/6/10,28.1028
2002/6/11,27.441601
2002/6/12,27.8384
2002/6/13,28.169001
2002/6/14,26.5159
2002/6/17,25.193399
2002/6/18,25.0611
2002/6/19,24.9289
2002/6/20,23.937
2002/6/21,23.5403
2002/6/24,21.9533
2002/6/25,22.2178
2002/6/26,21.0275
2002/6/27,21.4904
2002/6/28,20.829201
2002/7/1,19.3745
2002/7/2,18.382601
2002/7/3,19.4405
2002/7/4,20.1679
2002/7/5,21.556499
2002/7/8,23.0112
2002/7/9,24.3337
